{'axis': 'X', 'long_name': '', 'standard_name': 'longitude', 'units': 'degrees_east'}
-124.9806900024414
{'axis': 'Y', 'long_name': '', 'standard_name': 'latitude', 'units': 'degrees_north'}
-2.4981038570404053
start time: 2023-11-15T20:50:20.000000000
end time: 2023-11-15T23:30:40.000000000
'pressure [hPa]','temperature [degC]', 'salinity [g kg-1]'
412.2000,1.4560,34.7104
413.2000,1.4477,34.7098
414.2000,1.4310,34.7094
415.2000,1.4350,34.7090
416.2000,1.4209,34.7087
417.2000,1.4193,34.7080
418.2000,1.4142,34.7073
419.2000,1.4044,34.7080
420.2000,1.3960,34.7071
421.2000,1.3828,34.7069
422.2000,1.3726,34.7065
423.2000,1.3670,34.7062
424.2000,1.3546,34.7064
425.2000,1.3522,34.7066
426.2000,1.3444,34.7065
427.2000,1.3373,34.7064
428.2000,1.3291,34.7062
429.2000,1.3156,34.7065
430.2000,1.3061,34.7066
431.2000,1.3013,34.7058
432.2000,1.2982,34.7053
433.2000,1.2898,34.7048
434.2000,1.2806,34.7046
435.2000,1.2798,34.7045
436.2000,1.2749,34.7045
437.2000,1.2662,34.7048
438.2000,1.2577,34.7046
439.2000,1.2571,34.7042
440.2000,1.2497,34.7034
441.2000,1.2452,34.7030
442.2000,1.2395,34.7028
443.2000,1.2407,34.7024
444.2000,1.2397,34.7023
445.2000,1.2317,34.7019
446.2000,1.2248,34.7014
447.2000,1.2160,34.7011
448.2000,1.2117,34.7004
449.2000,1.2024,34.7001
450.2000,1.2005,34.6999
451.2000,1.1963,34.6997
452.2000,1.1950,34.6993
453.2000,1.1933,34.6991
454.2000,1.1831,34.6990
455.2000,1.1752,34.6992
456.2000,1.1710,34.6989
457.2000,1.1608,34.6986
458.2000,1.1525,34.6983
459.2000,1.1435,34.6979
460.2000,1.1351,34.6977
461.2000,1.1263,34.6974
462.2000,1.1242,34.6969
463.2000,1.1183,34.6969
464.2000,1.1152,34.6969
465.2000,1.1131,34.6968
466.2000,1.1077,34.6967
467.2000,1.1006,34.6966
468.2000,1.0938,34.6965
469.2000,1.0904,34.6963
470.2000,1.0893,34.6963
471.2000,1.0857,34.6960
472.2000,1.0820,34.6960
473.2000,1.0814,34.6959
474.2000,1.0831,34.6957
475.2000,1.0811,34.6956
476.2000,1.0769,34.6955
477.2000,1.0746,34.6953
478.2000,1.0768,34.6953
479.2000,1.0773,34.6951
480.2000,1.0751,34.6951
481.2000,1.0725,34.6952
482.2000,1.0723,34.6952
481.2000,1.0707,34.6952
480.2000,1.0707,34.6954
479.2000,1.0720,34.6954
478.2000,1.0685,34.6955
477.2000,1.0686,34.6956
476.2000,1.0704,34.6957
475.2000,1.0704,34.6958
474.2000,1.0707,34.6958
473.2000,1.0698,34.6960
472.2000,1.0728,34.6962
471.2000,1.0778,34.6966
470.2000,1.0797,34.6969
469.2000,1.0807,34.6970
468.2000,1.0810,34.6971
467.2000,1.0820,34.6976
466.2000,1.0825,34.6978
465.2000,1.0821,34.6980
464.2000,1.0892,34.6982
463.2000,1.0952,34.6985
462.2000,1.0998,34.6987
461.2000,1.1027,34.6992
460.2000,1.1111,34.6991
459.2000,1.1157,34.6991
458.2000,1.1201,34.6994
457.2000,1.1253,34.6996
456.2000,1.1296,34.6998
455.2000,1.1377,34.7001
454.2000,1.1414,34.7004
453.2000,1.1482,34.7009
452.2000,1.1480,34.7014
451.2000,1.1477,34.7016
450.2000,1.1538,34.7017
449.2000,1.1569,34.7019
448.2000,1.1620,34.7018
447.2000,1.1708,34.7017
446.2000,1.1733,34.7019
445.2000,1.1811,34.7023
444.2000,1.1897,34.7023
443.2000,1.1970,34.7024
442.2000,1.1959,34.7027
441.2000,1.2000,34.7033
440.2000,1.2014,34.7032
439.2000,1.2121,34.7034
438.2000,1.2104,34.7033
437.2000,1.2152,34.7035
436.2000,1.2270,34.7042
435.2000,1.2396,34.7044
434.2000,1.2417,34.7044
433.2000,1.2420,34.7046
432.2000,1.2538,34.7044
431.2000,1.2532,34.7044
430.2000,1.2621,34.7044
429.2000,1.2756,34.7036
428.2000,1.2766,34.7038
427.2000,1.2778,34.7038
426.2000,1.2817,34.7045
425.2000,1.2872,34.7050
424.2000,1.2965,34.7051
423.2000,1.2943,34.7051
422.2000,1.3048,34.7051
421.2000,1.3182,34.7050
420.2000,1.3323,34.7055
419.2000,1.3386,34.7057
418.2000,1.3549,34.7062
417.2000,1.3592,34.7062
416.2000,1.3535,34.7064
415.2000,1.3635,34.7063
414.2000,1.3734,34.7062
413.2000,1.3878,34.7057
412.2000,1.3866,34.7052
411.2000,1.3926,34.7054
410.2000,1.4088,34.7051
409.2000,1.4190,34.7052
408.2000,1.4304,34.7051
407.2000,1.4287,34.7048
406.2000,1.4272,34.7056
405.2000,1.4235,34.7057
404.2000,1.4386,34.7057
403.2000,1.4417,34.7065
402.2000,1.4452,34.7065
401.2000,1.4562,34.7059
400.2000,1.4538,34.7070
399.2000,1.4618,34.7075
398.2000,1.4779,34.7077
397.2000,1.4798,34.7081
396.2000,1.4845,34.7081
395.2000,1.4938,34.7083
394.2000,1.4959,34.7088
393.2000,1.5152,34.7088
392.2000,1.5306,34.7095
391.2000,1.5237,34.7091
390.2000,1.5310,34.7091
389.2000,1.5419,34.7095
388.2000,1.5419,34.7108
387.2000,1.5362,34.7114
386.2000,1.5584,34.7122
385.2000,1.5603,34.7122
384.2000,1.5607,34.7120
383.2000,1.5664,34.7133
382.2000,1.5797,34.7129
381.2000,1.5801,34.7137
380.2000,1.6000,34.7140
379.2000,1.6205,34.7146
378.2000,1.6310,34.7156
377.2000,1.6327,34.7163
376.2000,1.6413,34.7149
375.2000,1.6654,34.7143
374.2000,1.6647,34.7135
373.2000,1.6535,34.7137
372.2000,1.6498,34.7139
371.2000,1.6651,34.7133
370.2000,1.6531,34.7136
369.2000,1.6711,34.7129
368.2000,1.6900,34.7125
367.2000,1.7023,34.7135
366.2000,1.7154,34.7149
365.2000,1.7109,34.7159
364.2000,1.7346,34.7153
363.2000,1.7290,34.7151
362.2000,1.7179,34.7143
361.2000,1.7214,34.7133
360.2000,1.7299,34.7135
359.2000,1.7441,34.7125
358.2000,1.7643,34.7118
357.2000,1.7885,34.7112
356.2000,1.7811,34.7109
355.2000,1.7909,34.7089
354.2000,1.8171,34.7087
353.2000,1.8209,34.7088
